topic,theme,area,learning_objective 
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,"Distinguish between balanced and unbalanced problems, and explain why, if supply equals demand, there will always be a feasible solution."
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,"Delineate two major steps toward solving the classic transportation problem as linear program, and use simplex methods to get the optimal solution."
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,"Describe the major contributions of GIS to the classic transportation problem, and new opportunities and challenges presented by the 21st century."
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,"In the example provided in Figure 3, suppose that the demand of destination #3 increases from 2 units to 4 units, and there is a penalty cost of 1 for each unmet unit. Use the northwest corner method to find the initial feasible solution and use the simplest method to find the optimal solution for this unbalanced problem."
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,"Imagine that there are three local farms that provide dairy supplies to five retail stores in a metropolitan area. Each farm has a limited supply, and each store has demands based on historical records. Model this classic transportation problem using graphs, equations and matrices"
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,"If Esri's ArcGIS is available, use the location-allocation analysis to solve the above problem. Try different objectives and settings, and compare the analysis results. Otherwise, use the open-source GIS package Flowmap to create distance matrix and conduct analysis."
The Classic Transportation Problem,Network & Location Analysis,analytics and modeling,Think about the ridesharing services that have dynamic demands and supplies. Is it possible to model this problem as a classic transportation problem?
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Understand that models have a range of meaning, from conceptual to mathematical and computational."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,Recognize that models can be both static (in place) and dynamic (in time) and give examples of each.
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Know that GIS and computational models are linked in different ways, from tight to loose coupling."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Explain the critical phases of modeling: design, implementation, calibration, sensitivity analysis, validation and error analysis."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Be able to give examples of how models are used in simulations, and how their accuracy and uncertainty can be measured and communicated."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"See why scenario-based planning, informed by modeling, is an important tool across Geography."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Understand the different model types, and their application methods."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Value the importance of tools that make models more shared, such as open source software and common code libraries."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,What are the basic stages in the design and implementation of a GIS-based computational model?
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"What is model calibration, and why is it important?"
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Explain the difference between a static, discrete model and a dynamic model?"
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Make a list of the models used as examples, and align them in a table by model type."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Many models use different approaches, but use common elements, component or stages of model assessment. Give examples."
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,Why are cellular automaton models popular as models of land use change?
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,What conditions would be best for advising the choice of an agent-based model?
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,What are complex systems? Why does complex behavior challenge many standard types of model?
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,What factors contribute to a model’s acceptance by modelers? By users? By the general public?
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,List the factors that might be attributed to an “ideal” model.
GIS-Based Computational Modeling,Space-Time Analysis & Modeling,analytics and modeling,"Seek out review papers that survey or compare models.  What might you be able to state about model performance, i.e accuracy in forecasting."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,Sketch the most important conceptual data models and data structures for movement spaces and respective movement traces. Discuss opportunities and limitations of the above models and structures for the conceptualization of specific movement patterns.
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Discuss the importance and implications of the classic spatial data quality concepts precision, accuracy, and vagueness for the movement analysis process."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,Explain and apply basic trajectory operations.
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Discuss and apply the crucial task of segmentation in Computational Movement Analysis, especially for separating stops from moves."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,Explain at least three different trajectory similarity measures in their own words and by drawing simple sketches. Assess the suitability of different trajectory similarity measures for different types of given movement data.
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,List several movement patterns and conceptualize their patterns. Sketch patterns with pen and paper and devise algorithms for detecting movement patterns in movement data.
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Discuss why movement should be analyzed in its geographic context. Conceptualize and sketch computational approaches for relating movement data to geographic context data, considering different conceptual models for the movement and the movement spaces."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,Explain why complementing raw movement trajectories with auxiliary sensor data is key for understanding movement processes. List at least 5 additional sensor types that are often used together with location sensors.
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Name key visual analytics approaches for analyzing movement data, and list their properties and limitations."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,Make a list of all tracking systems for capturing the movement of mobile objects you know. Extend your list by characterizing the type and the properties of the movement data that the systems in the list produce.
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Given the movement of a commuter between home and work: Sketch with pen and paper the movement trajectory of the commuter using different conceptual models for the movement space embedding the commuter’s movement: (a) the field of the underlying digital terrain model, (b) the transportation network used, and (c) the irregular tessellation of space spanned by the proximity zones of mobile phone antennas."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Draw a couple of trajectories of the form of polylines connecting time-stamped (x,y,t)-tuples. Now add sketch drawings illustrating your ideas about different approaches for computing the similarity between the drawn trajectories. Make sure that some of your measures consider space and time, and not only space."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Assume you have the trajectories of all staff of an IT company. Two employees see each other socially. How could you detect these two employees when the movement of all staff is given with three types of movement data: (a) GPS-tracks from a tracking device with a 24/7 sampling rate of 1 minute, (b) the cell phone logs with the sequence of all antennas all staff are connected to, (c) the logs of the public transport loyalty systems all staff of this company use."
Computational Movement Analysis,Space-Time Analysis & Modeling,analytics and modeling,"Find a free smart phone app that allows the tracking of your movement whilst going on a hike or a bike ride. Record a couple of your own movement trajectories. Then map your trips in any mapping environment or GIS available to you. Study (a) data quality issues of your tracks, especially when comparing to the street or path network used, (b) come up with an algorithmic approach for detecting stops in your trajectories, (c) compute speed and sinuosity for your trajectory, (d) resample your trajectory reducing significantly the temporal granularity of your data and then re-compute speed and sinuosity. Discuss your findings from (a) – (d)."
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Describe what a cellular automaton is and what its key components are.
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,"Discuss how CA evolved through its development in mathematics, computer science, and geography."
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Identify CA principles and patterns using the game of Life and simple software.
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Summarize how CA has been adapted for modeling in geography using GIS.
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Critique CA for modeling geographical systems.
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Demonstrate how to examine the CA research literature.
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Examine the Wikipedia entry for Conway’s Game of Life. What are examples of some of the static forms that can emerge in the Game of Life?
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,"What are the six elements that form a CA? Which are parts of the geographic input data, and which are parts of the CA model itself?"
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Define a complex system and what is meant by emergence. Why are CA’s good tools for understanding complexity?
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,How does a CA integrate both space and time?
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,How fast can change propagate across a region when modeled by CA? What are the implications of this rate of dynamics for modeling geographical systems?
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,"How did CA move from computer science and physics into geography, and why?"
Cellular Automata,Geocomputational Methods & Models,analytics and modeling,Research five papers written in the last 5 years that use CA models in geography. What parts of the discipline was CA applied to in each?
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,"Create a drawing of a system of interest. Sketch out the agents belonging to this system, the nature in which these agents interact with each other, and how these agents interact with their surrounding landscape."
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Describe how local interactions amongst individual agents can lead to emergent spatial patterns.
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Explain the difference between top-down and bottom-up modeling approaches.
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Explore a real agent-based model and define the main modeling components.
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Download NetLogo from the following website:
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,http://ccl.northwestern.edu/netlogo/
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,. Under
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,File
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,", select"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Model Library
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,", and browse through the various available models. Choose a model to examine, and click on the"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Info
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,tab at the top of the model window to learn how the model works and how to change parameter settings to explore the simulated process. Answer the following questions:
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,"Describe the agents in this model, including their"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,objective
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,", how they make"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,decisions
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,", their possible"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,states
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,", and how they"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,interact
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,with other agents.
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,What do the time steps in the model represent (i.e. what is the temporal resolution?)
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Describe the environment in which agents exist.
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,Where in the model does there exist stochastic behavior?
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,What is the emergent pattern resulting from this model?
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,"Consider a crowd of people moving throughout a museum. Imagine a fire in the building taking place in the middle of the day, forcing people to evacuate the building. Create a conceptual model on paper that describes this system as an agent-based model. Include the model components presented in section 3 to do so."
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,"Considering the conceptual model developed in response to question 2, what is the emergent spatial pattern resulting from the system process?"
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,"Considering the conceptual model developed in response to question 2, describe how you would evaluate the model outcomes."
Agent-based Modeling,Geocomputational Methods & Models,analytics and modeling,"Considering the range of models in GIScience, explain the difference between top-down and bottom-up models and provide examples for each."
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Compare and contrast different design choices in developing simulation models
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Discuss different ways of simulating space and visualizing model behavior
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Discuss the implications of stochastic model assumptions for the design of simulation experiments
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Conduct a simulation experiment using available simulation software
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Discuss the utility of generating synthetic datasets from simulation experiments to make inferences about system behavior
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Describe how optimization methods involving Monte Carlo sampling of parameter space can be used to identify leverage points for policy intervention
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,"Explain how simulation models can be used to provide advance scientific knowledge in different geographic subfields (transportation, health geography, economic geography, urban and regional analysis, earth systems science)"
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,What factors influence the design choices made in model formulation? How might a collaborative research environment influence the model development process?
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,How might a given problem be modeled using continuous versus discrete representations?
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,What are the implications of using a grid-based versus a network-based approach to spatial simulation?
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,What are the different components of model analysis and why are they important?
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,What are the prospects for hybrid or multi-method modeling approaches in advancing research in geographic information science and technology?
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,Select one of the research traditions in the Map of Complexity Science provided in the additional resources for this entry. How has simulation modeling been used to advance research in this field?
Simulation Modeling,Geocomputational Methods & Models,analytics and modeling,What is emergence and why is it important in simulation modeling for geographic research?
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,Explain the general concept of artificial intelligence.
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,"Describe the relations among AI, machine learning, and deep learning."
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,Explain the main difference between supervised learning and unsupervised learning.
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,Describe an example application of AI in geography.
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,What is AI and how is AI related to machine learning and deep learning?
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,Why geography and GIS are critical for AI to address many of the real-world problems?
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,What are some machine learning models that capture the uniqueness of geographic phenomena?
Artificial Intelligence Approaches,Big Data & Geospatial Analysis,analytics and modeling,What is the main difference between supervised learning and unsupervised learning?
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,Describe characteristics of spatial data that affect spatial rule learning.
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,Explain the fundamentals of spatial association rule learning.
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,Compare and contrast SAR learning and spatial regression for correlation analysis.
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,Define the fundamentals of co-location rule learning.
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,Compare and contrast co-location rule learning and spatial analysis techniques for co-presence such as overlay.
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,What is the difference between a predicate and a spatial predicate?
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,How is the APRIORI algorithm used to find frequent sets of predicates in SAR learning?
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,What does co-location mean?
Rule Learning for Spatial Data Mining,Big Data & Geospatial Analysis,analytics and modeling,In what way is co-location rule learning different from SAR learning?
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,"Discuss advantages and disadvantages of various data classification methods for choropleth mapping, including equal interval, quantiles, mean-standard deviation, natural breaks, and “optimal” methods"
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,Apply various techniques for normalizing data
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,Demonstrate how different classification schemes produce very different maps from a single set of interval- or ratio-level data
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,"Write algorithms to perform equal interval, quantiles, mean-standard deviation, natural breaks, and “optimal” classification for choropleth mapping"
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,Explain the Modifiable Areal Unit Problem and describe how it can influence and impact cartographic communication.
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,Describe visual normalization and two of the methods in which it can be implemented.
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,You are provided data containing the total number of multigenerational households at a county level. Why might it be important to important to normalize this dataset?
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,"What is the difference between ordinal, interval, and ratio data? Describe how you might depict these different types of data cartographically."
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,"In selecting a classification scheme, what considerations should be taken when assessing the data?"
"Statistical Mapping (Enumeration, Normalization, Classification)",Map Design Fundamentals:,Cartography and Visualization,What is a good classification scheme for displaying uniform data? Heavily-skewed data? Ordinal data? Clustered data? Normally distributed data?
Map Projections,Map Design Fundamentals:,Cartography and Visualization,Describe the geometric properties of the globe that may be distorted in the map projection process.
Map Projections,Map Design Fundamentals:,Cartography and Visualization,"Describe at least one technique for visualizing distortion (e.g.,  Tissot’s indicatrices, or continuous distortion surfaces) and use it to visualize distortion."
Map Projections,Map Design Fundamentals:,Cartography and Visualization,"Identify and describe the distortion pattern in a specific map projection using a common visualization method (e.g., Tissot’s indicatrices) or distortion surface."
Map Projections,Map Design Fundamentals:,Cartography and Visualization,"Compare multiple map projections to explain the difference in distortion patterns, and how the maps would be suited for different analysis or visualization purposes."
Map Projections,Map Design Fundamentals:,Cartography and Visualization,Design a thematic map that uses a map projection appropriate to the theme and map purpose.
Map Projections,Map Design Fundamentals:,Cartography and Visualization,What is a developable surface? Is this how map projections are actually calculated? Describe the difference between the concept of developable surfaces and the mathematical transformations used for map projection.
Map Projections,Map Design Fundamentals:,Cartography and Visualization,"Describe the differences between an equal area, conformal, and compromise projection. Provide an example of a mapping problem that would be best suited for each type of projection."
Map Projections,Map Design Fundamentals:,Cartography and Visualization,Why should a cartographer or GIS analyst be concerned about the map projection of the dataset when performing spatial analysis?  When preparing a map for visual communication of spatial patterns?
Map Projections,Map Design Fundamentals:,Cartography and Visualization,"When selecting a projection based on property (equal area, conformal, etc.), what aesthetic considerations guide the final selection of a map projection with the desired property?"
Map Projections,Map Design Fundamentals:,Cartography and Visualization,What are the projection-related trade-offs that a web map designer must face when working with tiled map services?
Map Projections,Map Design Fundamentals:,Cartography and Visualization,Why is it impossible to preserve both area and angular measurements in a planar map projection?
Color Theory,Map Design Fundamentals:,Cartography and Visualization,Discuss the perceptual basis for color.•Understand: Select colors appropriate for map readers with color limitations.
Color Theory,Map Design Fundamentals:,Cartography and Visualization,"Select a color scheme (e.g., qualitative, sequential, diverging) that is appropriate for a given map purpose and variable."
Color Theory,Map Design Fundamentals:,Cartography and Visualization,Compare and contrast different color models by their purposes and gamuts.
Color Theory,Map Design Fundamentals:,Cartography and Visualization,Critique a map based on the real-world and cross-cultural connotations evoked by the color selections on maps.
Color Theory,Map Design Fundamentals:,Cartography and Visualization,Design a map taking into account the range of factors that should be considered in selecting colors.
Color Theory,Map Design Fundamentals:,Cartography and Visualization,"You are trying to select a color palette for your map. Test ColourLovers, Adobe Color CC, and ColorBrewer to find a relevant color scheme. Identify the limits of each tool for finding the suitable palette."
Color Theory,Map Design Fundamentals:,Cartography and Visualization,"You have been provided a geographical dataset: Use different tools (e.g., ColorBrewer, QGIS, color design tools) to select a proper color palette to represent the data. Compare the usability of these tools and the diversity of their color palettes for designing different kinds of maps (respecting cartographic constraints, but enabling creativity!). Discuss the variability you may have in the results, regarding both tools you have been experimenting with and the impact of various color palettes on your final map."
Color Theory,Map Design Fundamentals:,Cartography and Visualization,You are designing a color palette for a choropleth map of population density: Experiment with sequential schemes based on different hues to visually estimate the most satisfactory one and how the number of classes may have an impact on the color selection.
Color Theory,Map Design Fundamentals:,Cartography and Visualization,"You are designing a color palette for a choropleth map of the land cover of your country: Experiment with qualitative schemes based on different hues, and validate if your selection is legible for CVD people affected by pronotopia or deuterotopia."
Color Theory,Map Design Fundamentals:,Cartography and Visualization,You are designing a map that you want to publish on your website and to print as a scientific poster: How do you proceed to manage and preserve colors for screen and printing.
Color Theory,Map Design Fundamentals:,Cartography and Visualization,"You identify an online map that is not legible for color vision deficiency (CVD): Experiment with some tools to improve the colors of the map. Identify and discuss the initial choices of the designer of the map and propose a process to consider color adaptation to CVD, before redesigning a map."
Typography,Map Design Fundamentals:,Cartography and Visualization,Define the terms typeface and label.
Typography,Map Design Fundamentals:,Cartography and Visualization,Explain the difference between typeface properties (microaesthetics) and label properties (visual variables).
Typography,Map Design Fundamentals:,Cartography and Visualization,"Differentiate between the components of a font: typeface, weight, compression, and posture."
Typography,Map Design Fundamentals:,Cartography and Visualization,"Identify personalities of typefaces, and the microaesthetics that contribute to them."
Typography,Map Design Fundamentals:,Cartography and Visualization,Modify typographic visual variables to graphically represent the type and attributes of geographic feature.
Typography,Map Design Fundamentals:,Cartography and Visualization,"Explain how to label features having indeterminate boundaries (e.g., canyons, oceans)."
Typography,Map Design Fundamentals:,Cartography and Visualization,"Critique a typeface for a given map, analyzing what is appropriate and/or inappropriate about it."
Typography,Map Design Fundamentals:,Cartography and Visualization,"Implement techniques to improve typeface and label legibility, and to disambiguate labels."
Typography,Map Design Fundamentals:,Cartography and Visualization,Adjust label properties to create an appropriate label hierarchy.
Typography,Map Design Fundamentals:,Cartography and Visualization,Why is typography an important part of cartography?
Typography,Map Design Fundamentals:,Cartography and Visualization,"Given a suggested typeface, would you be able to deem it appropriate or inappropriate for a particular map project?"
Typography,Map Design Fundamentals:,Cartography and Visualization,"Suggest three different typefaces for labeling these maps: a cadastral map used by the municipal government, ski slopes in a resort, a simple graphic to appear on a television news program."
Typography,Map Design Fundamentals:,Cartography and Visualization,"How would you create a label hierarchy with a severely limited color palette (for example, grayscale only)?"
Typography,Map Design Fundamentals:,Cartography and Visualization,What factors enhance or limit both typeface and label legibility?
Typography,Map Design Fundamentals:,Cartography and Visualization,How would you recast a map’s rhetoric from “casual” to “authoritative” using only typographic visual variables?
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,"Define cartographic design, differentiating four different usages of the word."
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,Differentiate between the words style and aesthetic.
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,"Compare and contrast the stylistic elements of different pastiche map styles (e.g., realism, minimalism, cartooning) by form, color, type, and texture."
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,"Deconstruct of a map’s stylistic choices regarding form, color, type, and texture."
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,"Modify the style of a map to mimic another style (pastiche) regarding form, color, type, and texture."
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,"Outline the cartographic design process, through planning to final product. Make sure to mention"
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,decision making
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,","
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,conventions
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,", and"
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,recommendations
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,in your answer.
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,What kinds of questions should a cartographer ask when planning a map?
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,What is meant by the term “default design?” How can a map be said to have a “default” appearance?
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,Examine the map below. Explain how the stylistic choices made by the cartographer develop the map’s aesthetic.
Design and Aesthetics,Map Design Fundamentals:,Cartography and Visualization,How might a cartographer utilize pastiche? Explain how your specific stylistic choices contribute to the map’s aesthetic and for whose tastes the map might be appealing.
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,Describe the importance of the audience and the intention at the beginning of any project.
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,Walkthrough the “Planning” steps for a project that you have completed recently. Identify where better planning could have improved execution of your project.
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,Evaluate a completed map identifying each of the “Planning” phases and how effectively the goals were achieved.
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,"Create a project plan for a map, from planning to closing."
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,A client sends an email stating the need for a “quick map” of Nigeria showing rainfall patterns and some basic map features. She wants to know how long it will take to get a draft and how much it will cost. What additional information is needed from the client before you can provide an estimate?
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,"You are deep in the process of making a map, having worked through a detailed approach with the client, when you discover the organization that was going to provide the data for free is no longer able to provide it. The only other acceptable options for the data cost a nontrivial percentage of the budget. How do you respond?"
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,"Explore two different maps, one simple and one complex (static or interactive). Based on what you see in each of the maps, write a narrative exchange between a client and cartographer for the pre-production phase that could have led to the outcome for each map."
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,"Before you begin lab ____, write an estimate for the number of hours it will take you to complete the project all additional costs associated with the production (e.g., software, computers, training). Throughout the lab, track your time, making notes for what you accomplished for each portion of the map production process. At the end of the lab, compare your estimated budget to how long it actually took you to make the map. Submit your budget detail along with your map. Include in your detail how much you would need to charge for that map in order to maintain a reasonable wage as a freelancer."
Map Production and Management,Map Design Fundamentals:,Cartography and Visualization,Outline a quality assurance process for you to implement for your final project.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Discuss the relative merits of bivariate and multivariate cartography for their topic and audience.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Create maps that encode multiple variables into map symbolization.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Identify interesting relationships uniquely revealed by their bivariate or multivariate representation.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Choose suitable visual dimensions to appropriately represent their multiple variables.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,"Describe categories, and specific methods, of bivariate and multivariate mapping."
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Explain the nature of relationships between phenomena in a bivariate choropleth map.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Design effective and concise legends for bivariate and multivariate maps.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,"Consider variations upon, or alternatives to, bivariate and multivariate mapping."
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,"Given two variables at the same geographic enumeration unit, construct a bivariate choropleth using an array of colors to represent the relationship between the two."
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Find three bivariate or multivariate maps via a web search. Identify an element from each that communicates an interesting aspect of the relationship of the mapped variables. Compare the relative merits and liabilities of all three.
Multivariate Mapping,Map Design Techniques:,Cartography and Visualization,Perform a user study to evaluate how people perceive and interpret Chernoff Faces. Your evaluation may include accuracy of interpretation and timed task completion.
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,Describe potential types of uncertainty in a given geospatial dataset
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"Compare and contrast different techniques for representing uncertainty in maps (e.g., the use of static vs. dynamic approaches)"
Representing Uncertainty,Map Design Techniques:,Cartography and Visualization,"Evaluate uncertainty representation techniques by their suitability for representing different types of uncertainty (e.g., intrinsic vs. extrinsic, adjacent vs. coincident, static vs. dynamic)"
